Economic Need Index,graduation_rate
0.73,0.74
0.903,0.63
0.581,0.96
0.733,0.81
0.305,0.99
0.653,0.53
0.764,0.73
0.292,0.87
0.72,0.81
0.8290000000000001,0.66
0.249,0.98
0.765,0.69
0.685,0.89
0.515,0.93
0.784,0.81
0.79,0.89
0.449,0.97
0.6559999999999999,0.74
0.726,0.64
0.306,1.0
0.726,0.68
0.319,1.0
0.6559999999999999,0.61
0.72,0.83
0.618,0.76
0.653,0.89
0.37799999999999995,0.99
0.598,0.67
0.726,0.66
0.67,0.78
0.655,0.83
0.807,0.66
0.34,0.99
0.8590000000000001,0.73
0.9470000000000001,0.62
0.743,0.6
0.639,0.73
0.659,0.81
0.6890000000000001,0.71
0.8759999999999999,0.67
0.79,0.76
0.6629999999999999,0.74
0.26,0.97
0.6920000000000001,0.96
0.732,0.91
0.815,0.8
0.40399999999999997,0.99
0.875,0.58
0.7759999999999999,0.73
0.366,0.97
0.7290000000000001,0.7
0.818,0.63
0.621,0.93
0.47600000000000003,0.98
0.7120000000000001,0.74
0.809,0.7
0.6559999999999999,0.94
0.772,
0.5589999999999999,0.81
0.778,0.54
0.7929999999999999,0.85
0.605,0.77
0.9329999999999999,0.96
0.7509999999999999,0.69
0.757,0.9
0.585,0.93
0.6679999999999999,0.73
0.665,0.8
0.8390000000000001,0.55
0.9279999999999999,0.61
0.748,0.47
0.619,0.64
0.8690000000000001,0.67
0.615,
0.726,0.75
0.7929999999999999,0.9
0.495,0.89
0.52,0.93
0.812,0.73
0.685,0.8
0.753,0.67
0.589,0.63
0.47600000000000003,0.71
0.519,0.82
0.631,0.99
0.6940000000000001,0.86
0.731,0.78
0.45799999999999996,0.93
0.919,0.67
0.507,0.83
0.82,0.66
0.42200000000000004,0.89
0.865,0.46
0.8540000000000001,0.62
0.765,0.57
0.767,0.74
0.376,0.97
0.708,0.63
0.6729999999999999,0.82
0.61,0.71
0.634,0.69
0.838,0.72
0.706,0.63
0.6729999999999999,1.0
0.736,0.77
0.599,
0.804,0.77
0.875,0.8
0.787,0.84
0.7020000000000001,1.0
0.789,0.54
0.85,0.53
0.594,0.7
0.802,0.51
0.618,0.6
0.599,0.84
0.628,0.72
0.95,0.57
0.9229999999999999,0.69
0.615,0.9
0.434,0.99
0.674,0.82
0.828,0.64
0.541,0.83
0.287,0.91
0.833,0.71
0.7020000000000001,0.81
0.616,0.9
0.818,0.64
0.38299999999999995,0.99
0.647,0.71
0.48700000000000004,0.87
0.614,0.74
0.685,0.76
0.695,0.86
0.818,0.66
0.33399999999999996,0.98
0.674,0.83
0.752,0.96
0.499,0.98
0.40700000000000003,0.99
0.815,0.87
0.696,0.7
0.816,0.96
0.772,0.71
0.6559999999999999,0.96
0.6,0.75
0.685,0.65
0.67,0.89
0.8009999999999999,0.73
0.263,1.0
0.726,0.77
0.37,0.99
0.6829999999999999,0.78
0.41700000000000004,0.95
0.662,0.95
0.364,0.93
0.5579999999999999,0.91
0.664,0.74
0.733,0.61
0.636,0.66
0.6609999999999999,0.86
0.715,
0.733,0.68
0.958,0.79
0.7929999999999999,0.67
0.359,0.97
0.888,0.52
0.561,0.8
0.379,0.98
0.779,
0.539,0.81
0.512,0.9
0.937,0.63
0.721,0.71
0.858,0.92
0.5579999999999999,1.0
0.397,0.93
0.525,0.97
0.736,0.77
0.657,0.74
0.7659999999999999,0.65
0.716,0.93
0.5579999999999999,0.92
0.687,0.74
0.556,0.84
0.8190000000000001,0.72
0.77,0.6
0.763,0.69
0.63,0.64
0.43200000000000005,0.96
0.647,0.92
0.6459999999999999,0.95
0.86,0.55
0.6920000000000001,0.79
0.359,0.91
0.705,0.95
0.688,1.0
0.7909999999999999,0.73
0.823,0.68
0.545,0.94
0.5710000000000001,0.91
0.5589999999999999,0.68
0.8190000000000001,0.91
0.753,0.83
0.618,0.71
0.648,0.9
0.706,0.59
0.502,0.93
0.938,0.73
0.83,0.96
0.46,0.98
0.628,0.67
0.828,0.73
0.669,0.93
0.755,0.83
0.451,0.97
0.626,0.87
0.42100000000000004,0.92
0.6859999999999999,0.8
0.693,0.67
0.266,0.99
0.815,0.65
0.419,0.98
0.836,0.73
0.611,0.97
0.615,0.63
0.769,0.68
0.47,0.7
0.868,0.85
0.72,0.72
0.664,0.59
0.6579999999999999,
0.405,0.93
0.631,0.73
